Simulation error	Error en la simulación
An error occurred while this simulation was in progress, and an error file has been created.	Ha occurido un error durante el transcurso de esta simulación y se ha creado un archivo de error.
We would appreciate your help in solving this problem: please send the error file (named below) to the NAADSM Development Team for analysis.  Thank you!	Le agradecemos nos asista en resolver este problema: por favor envíe el archivo de error (nombrado abajo) para que pueda ser analizado por el group de desarrollo del NAADSM. Gracias.
Error file name:	Error en el nombre del archivo:
OK	OK
Form1	Form1
Copy message	Copiar mensaje
Items to _____:	Puntos a _____:
Cancel	Cancelar
NAADSM updates	Actualización de NAADSM
An updated version (xxx) of NAADSM is available: you are currently using version yyy.	Hay una versión actualizada disponible (xxx) del NAADSM: usted está usando la versión yyy.
This update is critical, and highly recommended.  This line should wrap this line should wrap.	Esta actualización es crítica y altamente recomendable. Esta oración debe...
A description of the enhancements in the new version is shown below:	Abajo se observa una descripción de las mejoras en la nueva versión:
More information about this update is available at:	Puede encontrar información relacionada con las mejoras de esta versión en:
http://www.naadsm.org/updates.php?version=3.0.79&&fromVersion=3.0.78	http://www.naadsm.org/updates.php?version=3.0.79&&fromVersion=3.0.78
You may go to the NAADSM website now to download the update, if you wish.	Si desea, ahora puede abrir la página del NAADSM para bajar la versión actualizada.
If you do not want to install this noncritical update, click '#39'Skip this update'#39' below, and you will not be prompted again until the next update becomes available.	Si usted no desea instalar esta actualización no-crítica, haga click en el  'Saltear esta actualización' abajo y se le recordará cuando la próxima actualización se encuentre disponible
&Go to the NAADSM website	&Ir a la página de NAAADSM
&Do not update now	&No actualizar ahora
&Skip this update	&Saltear esta actualización
FormWizardBase	FormWizardBase
&Cancel	&Cancelar
Abort current operations, not saving information on the screen and return to the main menu	Abandone las operaciones presentes sin guardar la información en la pantalla y regrese al menú principal
< &Back	< &Atrás
Return to the previous screen, saving this information	Regrese a la pantalla anterior guardando esta información
&Next >	S&iguiente >
Proceed to the next screen, saving this information	Proceda a la pantalla siguiente guardando esta información
&Finish	&Finalizar
Complete working on the screen by saving the information	Complete el trabajo en esta pantalla guardando esta información
Stage progress:	Progreso de esta fase:
Overall progress:	Progreso total:
Please register NAADSM	Por favor, registrar el NAADSM
&OK	&OK
Accept changes	Aceptar los cambios
Cancel changes	Cancelar los cambios
Parameter	Parámetro
Mean	Media
Standard deviation	Desvío estándar
Median	Mediana
Quartile difference	Diferencia cuartil
Number of histogram bins:	Número de columnas en el histograma:
File name:	Nombre del archivo:
Browse...	Buscar...
*.*|All files|*.csv|Comma separated values	*.*|Todos los archivos|*.csv|Valores separados por comas
Chart	Gráfico
Save chart image to file	Guardar el gráfico en el archivo
Copy chart image to clipboard	Copiar gráfico en el portapapeles
Print chart image	Imprimir gráfico
Save changes and exit	Guardar cambios y salir
Exit without saving changes	Salir sin guardar los cambios
Function name:	Nombre de la función:
leTitle	leTitle
Save	Guardar
&Help	&Ayuda
Show help screen	Mostrar pantalla de ayuda
E&xit without saving changes to function	Sa&lir sin guardar cambios en la función
&Save changes to function and exit	&Guardar cambios en la función y salir
&Print chart image...	&Imprimir gráfico...
S&ave chart image...	G&uardar gráfico...
C&opy chart image to clipboard	C&opiar gráfico en el portapapeles
&Export points to file...	&Exportar puntos al archivo...
&Copy points to clipboard	&Copiar puntos en el portapapeles
&Import points from clipboard	&Importar puntos desde el portapapeles
&Import points from file...	&Importar puntos del archivo...
